Name,Date Added,Year,Last Played,Artist,Genre,Plays
Afterlife,"2/4/20, 7:51 PM",2007,,Avenged Sevenfold,Hard Rock,
Again (feat. SYRE),"7/14/19, 2:49 PM",2019,,Jaden,Hip-Hop/Rap,
Ain't No Mountain High Enough,"1/31/17, 1:01 PM",1967,"8/16/20, 1:52 PM",Marvin Gaye & Tammi Terrell,R&B/Soul,52
Ain't No Nigga,"10/29/15, 12:53 AM",1996,"8/10/16, 1:55 PM",Jay-Z,Rap,2
Ain't No Sunshine,"6/29/16, 10:18 PM",1971,"2/18/17, 3:52 PM",Bill Withers,R&B/Soul,1
Ain't Talkin' 'Bout Love,"6/13/20, 11:24 PM",1978,,Van Halen,Hard Rock,
Ali Bomaye,"10/16/15, 6:24 PM",2012,"12/3/15, 3:25 AM",The Game Feat. 2 Chainz & Rick Ross,Rap,1
Ali Bomaye (feat. 2 Chainz & Rick Ross),"12/31/14, 12:01 AM",2012,"1/31/19, 9:37 PM",The Game,Hip Hop/Rap,7
Alive,"5/2/19, 5:39 PM",2019,,Khalid,R&B/Soul,
Alive,"10/29/18, 1:14 PM",1991,"11/6/18, 8:05 PM",Pearl Jam,Alternative,3
Alive (Nightmare),"10/15/15, 5:46 PM",2009,"10/5/16, 3:54 PM",Kid Cudi,Rap,29
Alive (Nightmare),"3/14/17, 11:24 PM",2009,"11/5/19, 4:34 PM",Kid Cudi,Hip-Hop/Rap,25
All About It,"2/7/15, 1:39 PM",,"4/20/16, 3:18 PM",Hoodie Allen,,8
All About It (feat. Ed Sheeran),"7/1/16, 4:58 PM",2014,"12/4/16, 4:11 PM",Hoodie Allen,Hip-Hop,2
All Along the Watchtower,"3/4/17, 1:20 AM",1968,"6/14/20, 2:38 PM",Jimi Hendrix,Rock,48
All by Myself,"3/14/17, 11:52 PM",1994,"2/21/18, 2:03 PM",Green Day,Alternative,1
All Falls Down,"10/15/15, 6:04 PM",2004,"2/19/17, 4:04 PM",Kanye West,Rap,8
All Falls Down,"10/25/16, 4:55 PM",2004,"6/8/19, 6:24 PM",Kanye West,Hip-Hop/Rap,11
All Gold Everything,"12/2/16, 1:23 AM",2012,"1/26/20, 2:28 PM",Trinidad James,Hip-Hop/Rap,22
All Me (feat. 2 Chainz & Big Sean),"7/1/16, 4:58 PM",2013,"2/28/17, 10:17 PM",Drake,Hip-Hop/Rap,5
All My Life,"2/24/20, 10:58 AM",2020,,Ozzy Osbourne,Metal,
All of the Lights,"1/30/15, 12:07 AM",2010,"9/24/19, 2:32 PM",Kanye West,Hip-Hop/Rap,42
All of the Lights (Interlude),"10/14/15, 9:32 PM",2010,"6/6/18, 2:20 PM",Kanye West,Hip-Hop/Rap,4
All Right Now (Single Version),"3/29/18, 12:08 PM",1970,"11/28/19, 4:14 PM",Free,Rock,55
All Star,"1/7/20, 3:21 PM",1999,"8/16/20, 2:22 PM",Smash Mouth,Alternative,40
All Star,"7/8/15, 8:41 PM",,"2/3/19, 3:11 PM",Smash Mouth,,11
All Summer Long,"7/7/17, 9:29 AM",2007,"10/5/18, 5:36 PM",Kid Rock,Rock,9
All That (Lady),"10/16/15, 6:27 PM",2012,"1/12/17, 1:18 PM","The Game Feat. Lil Wayne, Big Sean, Fabolous & Jeremih",Rap,4
"All That (Lady) [feat. Lil Wayne, Big Sean, Fabolous & Jeremih]","5/31/17, 7:24 PM",2012,"6/13/17, 5:16 PM",The Game,Hip-Hop/Rap,2
All the Small Things,"8/3/15, 10:39 PM",,"8/6/16, 9:28 PM",Blink 182,,3
All the Small Things,"3/4/18, 4:00 AM",1999,,blink-182,Rock,1
All the Small Things,"11/4/19, 8:32 PM",1999,"4/2/20, 3:38 PM",blink-182,Rock,11
All The Stars,"2/23/18, 10:08 AM",2018,"2/23/18, 10:14 AM","Kendrick Lamar, SZA",Hip-Hop/Rap,1
All We Need,"5/19/19, 2:21 PM",2018,"5/19/19, 2:25 PM",Mako Road,Alternative,1
Almost Famous,"12/2/16, 1:08 AM",2010,,Eminem,Hip-Hop/Rap,
Almost Slipped,"12/14/18, 12:39 PM",2018,,Meek Mill,Hip-Hop/Rap,
Alright,"9/30/15, 8:54 PM",2015,"8/14/16, 1:42 PM",Kendrick Lamar,Hip-Hop/Rap,34
Alright,"11/16/16, 9:51 PM",2015,"7/24/20, 3:15 PM",Kendrick Lamar,Hip-Hop/Rap,92
Always There,"10/2/19, 9:52 PM",2019,,Greta Van Fleet,Soundtrack,
Amazing,"10/21/15, 9:31 PM",2008,"6/29/16, 8:10 PM",Kanye West,Rap,5
Amazing (feat. Young Jeezy),"7/1/17, 12:25 AM",2008,"10/20/18, 7:07 PM",Kanye West,Hip-Hop/Rap,22
Ambitionz Az a Ridah,"7/29/15, 9:36 PM",1996,"1/16/19, 11:15 PM",2Pac,Hip Hop/Rap,42
American Boy (feat. Kanye West),"10/24/18, 10:50 AM",2008,"2/19/20, 7:38 PM",Estelle,R&B/Soul,24
American Girl,"8/8/18, 1:48 PM",1976,"7/12/20, 12:44 PM",Tom Petty & The Heartbreakers,Rock,28
American Idiot,"3/14/17, 11:52 PM",2004,"6/19/18, 9:28 AM",Green Day,Alternative,20
American Pie (Full Length Version),"8/15/17, 11:26 AM",1971,"4/13/20, 7:08 PM",Don Mclean,Rock,98
American Reprise,"8/11/19, 9:49 PM",2019,"8/11/19, 9:49 PM",Woody Jackson,Original Score,1
American Venom,"8/11/19, 9:50 PM",2019,"8/13/19, 1:22 PM",Woody Jackson,Original Score,2
American Woman,"3/26/20, 4:56 PM",1970,,The Guess Who,Rock,
Anastasia (feat. Myles Kennedy & The Conspirators),"11/9/18, 9:31 PM",2012,"4/17/19, 7:04 PM",Slash,Hard Rock,10
And It Stoned Me,"7/14/19, 12:44 PM",1970,"3/5/20, 12:16 PM",Van Morrison,Rock,6
Angel (feat. Rayvon),"9/3/16, 1:52 PM",2000,"2/4/17, 4:59 PM",Shaggy,Pop,2
Angels (feat. Saba),"10/29/15, 12:00 AM",2015,"3/2/17, 4:24 PM",Chance The Rapper,Hip Hop/Rap,3
Animal Magnetism,"5/16/20, 1:02 PM",1980,,Scorpions,Hard Rock,
Anomaly (feat. 2 Chainz),"1/19/18, 5:40 PM",2017,"1/20/18, 12:10 AM",Dame D.O.L.L.A.,Hip-Hop/Rap,2
Any Way You Want It,"1/11/20, 6:38 PM",1980,"8/22/20, 2:16 PM",Journey,Rock,21
Anything Goes,"4/17/17, 1:59 PM",1987,"5/19/17, 7:57 PM",Guns N' Roses,Rock,4
Apologize,"1/19/16, 1:38 PM",,"1/20/16, 12:23 AM",One Republic,,1
Apologize (feat. OneRepublic),"11/5/19, 11:49 PM",2006,,Timbaland,Pop,
Apologize (feat. OneRepublic),"8/2/16, 11:22 PM",2007,"6/10/18, 5:45 PM",Timbaland,Hip-Hop/Rap,2
Apparently,"10/21/15, 9:45 PM",2014,"4/16/16, 11:21 PM",J. Cole,Rap,17
Apparently,"11/1/16, 7:37 PM",2014,"1/21/17, 5:33 PM",J. Cole,Hip-Hop/Rap,18
"April 29, 1992 (Miami)","2/4/17, 7:30 AM",1996,"1/31/19, 11:43 AM",Sublime,Pop,19
Are You Gonna Be My Girl,"8/15/17, 12:40 PM",2003,"6/13/20, 1:23 PM",Jet,Rock,27
Arizona,"6/14/18, 8:13 PM",1982,"8/21/20, 7:50 PM",Scorpions,Hard Rock,4
Around the World,"3/3/15, 12:01 AM",2006,"10/11/16, 2:01 PM",Game,Hip-Hop/Rap,
The Art of Peer Pressure,"3/7/15, 11:12 PM",2013,"6/10/18, 6:28 PM",Kendrick Lamar,Hip Hop/Rap,6
Ason Jones,"10/25/16, 3:57 PM",2009,"11/13/16, 1:04 PM",Raekwon,Hip-Hop/Rap,1
Ason Jones,"10/21/15, 9:02 PM",2009,,Raekwon,Rap,
Ass Like That,"10/29/15, 12:39 AM",2004,,Eminem,Rap,
Ass Like That,"10/25/16, 3:55 PM",2004,,Eminem,Hip-Hop/Rap,
At Seventeen,"3/26/20, 4:56 PM",1975,,Janis Ian,Rock,
Atlantic City,"3/12/20, 4:02 PM",1993,,The Band,Rock,
Autumn Leaves,"5/28/18, 12:50 AM",2017,,"Damian ""Jr. Gong"" Marley",Reggae,
Award Tour,"5/11/20, 10:21 PM",1993,,A Tribe Called Quest,Hip-Hop/Rap,
Ayo,"1/29/15, 11:57 PM",2015,"6/10/18, 7:05 PM",Chris Brown X Tyga,R&B/Soul,11
B.Y.O.B.,"3/25/19, 8:38 PM",2005,,System Of A Down,Metal,
Babe I'm Gonna Leave You,"2/24/19, 3:32 PM",1969,,Led Zeppelin,Rock,
Baby I'm Yours ,"12/11/18, 8:44 PM",2010,"11/7/19, 5:59 PM",Breakbot,Electronic,18
Babydoll,"5/28/19, 1:14 PM",2018,"6/16/19, 12:48 PM",Dominic Fike,Alternative,2
Back In Black,"7/19/17, 12:23 PM",1980,"6/13/20, 1:04 PM",AC/DC,Hard Rock,27
Back Stabbers,"3/26/20, 4:56 PM",1972,,The O'Jays,Rock,
Back That Azz Up,"5/3/18, 5:42 PM",1998,"7/14/18, 4:37 PM",Juvenile,Hip-Hop/Rap,1
Backseat Freestyle,"3/8/15, 12:12 AM",2013,"8/15/20, 8:09 PM",Kendrick Lamar,Hip Hop/Rap,71
Bad and Boujee (feat. Lil Uzi Vert),"1/9/17, 12:05 PM",2016,"2/19/17, 11:31 AM",Migos,Hip-Hop,4
Bad Luck,"5/2/19, 5:39 PM",2019,,Khalid,R&B/Soul,
Bad Moon Rising,"1/31/17, 10:03 PM",1969,"8/22/20, 2:23 PM",Creedence Clearwater Revival,Rock,94
Bad News,"10/21/15, 9:34 PM",2008,,Kanye West,Rap,
"Bad, Bad Leroy Brown","8/1/18, 3:21 PM",1973,"8/2/18, 1:18 AM",Jim Croce,Rock,1
Badfish,"9/3/16, 1:46 PM",1992,"8/13/20, 6:17 PM",Sublime,Alternative,110
Badland (feat. Ghostface Killah),"10/25/16, 3:57 PM",2009,,Raekwon,Hip-Hop/Rap,
Baggin Crack,"10/25/16, 3:57 PM",2009,"10/29/16, 2:57 PM",Raekwon,Hip-Hop/Rap,1
Baggin Crack,"10/21/15, 9:00 PM",2009,"4/1/16, 10:17 AM",Raekwon,Rap,3
Bagpipes from Baghdad,"9/22/18, 12:55 AM",2009,"2/10/20, 4:23 PM",Eminem,Hip-Hop/Rap,3
Baker Street,"4/19/20, 10:22 AM",1978,"7/24/20, 2:39 PM",Gerry Rafferty,Rock,4
Bales,"12/23/16, 12:58 AM",2016,"2/1/17, 7:54 PM",Gucci Mane,Hip-Hop/Rap,14
Ball and Chain,"4/23/17, 4:28 PM",1990,"8/12/17, 5:34 AM",Social Distortion,Alternative,1
Ball For Me (feat. Nicki Minaj),"5/7/18, 7:41 PM",2018,"9/28/19, 1:42 PM",Post Malone,Hip-Hop/Rap,4
The Ballad of Johnny Butt,"2/4/17, 8:30 AM",1996,"8/4/19, 4:17 PM",Sublime,Alternative,3
"Bam (feat. Damian ""Jr. Gong"" Marley)","7/17/17, 9:50 PM",2017,"7/19/17, 7:42 AM",JAY-Z,Hip-Hop/Rap,1
Banana Pancakes,"7/25/18, 9:22 PM",2005,,Jack Johnson,Rock,
"Bananza (Belly Dancer) [12"" Version]","10/14/15, 9:18 PM",2004,,Akon,R&B/Soul,
"Band on the Run (From ""One Hand Clapping"")","2/7/17, 1:21 AM",1973,"11/21/19, 2:09 PM",Paul McCartney & Wings,Rock,37
Bang,"3/3/15, 12:01 AM",2006,"10/22/16, 3:11 PM",Game,Hip-Hop/Rap,11
Bang,"6/18/17, 12:47 PM",2006,,The Game,Hip-Hop/Rap,
Bank Account,"9/14/17, 5:22 PM",2017,"5/19/19, 1:07 PM",21 Savage,Hip-Hop/Rap,27
Barry Bonds (feat. Lil Wayne),"10/15/15, 11:52 AM",2007,"10/16/15, 1:24 PM",Kanye West & Lil Wayne,Hip Hop/Rap,1
Basket Case,"3/15/17, 12:52 AM",1994,"3/15/20, 12:44 PM",Green Day,Alternative,84
Battery Acid,"4/13/17, 7:57 PM",2007,,Queens of the Stone Age,Rock,
The Battle of Evermore,"4/27/17, 1:31 AM",1971,,Led Zeppelin,Rock,
The Beast,"3/26/20, 4:55 PM",1996,,Fugees,Hip-Hop/Rap,
Beast of Burden,"4/20/19, 8:20 PM",1978,"8/15/20, 12:17 PM",The Rolling Stones,Rock,107
Beat It,"8/15/17, 1:26 PM",1982,"8/30/19, 3:18 PM",Michael Jackson,Pop,12
Beautiful,"10/16/15, 5:15 PM",2014,,Jeezy,Rap,
Beautiful Day,"2/22/19, 11:01 PM",2019,,Surfaces,R&B/Soul,
Beautiful Disruption,"7/14/19, 2:49 PM",2019,,Jaden,Hip-Hop/Rap,
Beautiful Girls,"10/26/16, 10:37 AM",2007,"7/19/18, 4:01 PM",Sean Kingston,Hip-Hop/Rap,12
Beautiful Light,"9/16/16, 11:30 PM",,"2/28/17, 9:46 PM",Uppermost,,17
Because I Got High (Dirty Radio),"11/4/15, 1:37 AM",2001,"7/11/18, 4:30 PM",Afroman,Hip-Hop/Rap,5
Been Getting Money,"10/16/15, 5:14 PM",2014,"10/5/16, 3:58 PM",Jeezy,Rap,34
Been Getting Money (feat. Akon),"10/25/16, 4:56 PM",2014,"7/25/19, 9:23 PM",Jeezy,Hip-Hop/Rap,6
Beez Like,"10/16/15, 5:16 PM",2014,"4/20/16, 3:22 PM",Jeezy,Rap,6
Beez Like (feat. Boosie Badazz),"10/25/16, 3:56 PM",2014,"11/27/16, 10:00 PM",Jeezy,Hip-Hop/Rap,1
Behind Blue Eyes,"3/25/19, 8:29 PM",2003,,Limp Bizkit,Hard Rock,
Behind Blue Eyes,"12/26/18, 2:00 PM",1971,"12/26/18, 2:04 PM",The Who,Rock,1
Believe In Love,"4/9/18, 6:31 PM",1988,,Scorpions,Rock,
Best of My Love,"3/26/20, 4:56 PM",1977,,The Emotions,Rock,
Better,"5/2/19, 5:39 PM",2018,,Khalid,R&B/Soul,
Better Now,"5/7/18, 7:41 PM",2018,"9/21/18, 10:49 PM",Post Malone,Hip-Hop/Rap,3
Better Together,"9/3/18, 10:38 PM",2005,"8/2/20, 5:24 PM",Jack Johnson,Rock,32
Beverly Hills,"11/11/18, 4:59 PM",2005,,Weezer,Rock,
Big Amount (feat. Drake),"10/1/17, 11:43 AM",2016,"5/19/18, 5:21 PM",2 Chainz,Hip-Hop/Rap,12
"BIG BANK (feat. 2 Chainz, Big Sean & Nicki Minaj)","8/8/18, 10:54 AM",2018,"9/11/19, 12:39 AM",YG,Hip-Hop/Rap,14
Big Brother,"10/15/15, 11:52 AM",2007,,Kanye West,Hip-Hop/Rap,
Big City Nights,"4/9/18, 6:31 PM",1984,"4/29/18, 12:17 PM",Scorpions,Rock,1
Big Iron,"4/3/17, 1:01 PM",1959,"2/18/18, 6:26 PM",Marty Robbins,Country,1
Big Lie,"6/30/18, 12:55 PM",2016,"6/8/19, 4:55 PM",Post Malone,Hip-Hop/Rap,1
Big Log,"3/30/20, 10:19 PM",1983,"8/11/20, 11:37 AM",Robert Plant,Rock,9
Big Poppa,"6/30/17, 9:45 AM",1994,,The Notorious B.I.G.,Hip-Hop/Rap,
Big Shot,"2/14/18, 10:48 PM",2018,"2/24/18, 1:43 PM","Kendrick Lamar, Travis Scott",Hip-Hop/Rap,1
Big Weenie,"10/29/15, 12:38 AM",2004,"12/26/15, 10:48 PM",Eminem,Rap,1
Big Weenie,"10/25/16, 4:55 PM",2004,"5/6/19, 12:11 AM",Eminem,Hip-Hop/Rap,1
Bigger Than Us (feat. Paul Rey),"1/16/16, 3:09 PM",2015,"9/27/16, 11:30 AM",Dame Dolla,Hip-Hop/Rap,2
Billie Jean,"4/26/19, 10:38 PM",2019,,Weezer,Alternative,
Bitch You Ain't S**t,"10/8/15, 9:28 PM",2015,,The Game,Hip Hop/Rap,
"Bitch, Dont Kill My Vibe","3/7/15, 11:12 PM",2013,"7/24/19, 12:48 PM",Kendrick Lamar,Hip Hop/Rap,42
"Bitch, Dont Kill My Vibe (feat. JAY Z) [Remix]","3/8/15, 12:12 AM",2013,"8/21/20, 2:50 PM",Kendrick Lamar,Hip-Hop/Rap,58
Black Beatles (feat. Gucci Mane),"11/7/16, 3:28 PM",2016,"1/14/17, 12:52 PM",Rae Sremmurd,Hip-Hop/Rap,7
Black Boy Fly (Bonus Track),"1/20/17, 4:37 PM",2012,"5/29/17, 3:38 PM",Kendrick Lamar,Hip-Hop/Rap,1
Black Dog,"4/27/17, 2:31 AM",1971,"3/12/20, 11:49 AM",Led Zeppelin,Rock,5
Black Hole Sun,"6/30/16, 2:52 PM",1994,"3/9/20, 12:50 PM",Soundgarden,Hard Rock,26
Black Magic Woman,"4/20/19, 1:00 PM",1970,,Santana,Rock,
Black Magic Woman,"3/26/20, 4:56 PM",1970,,Santana,Rock,
Black Mountain Side,"2/24/19, 3:32 PM",1969,"2/27/19, 3:15 PM",Led Zeppelin,Rock,1
Black Mozart,"10/21/15, 8:58 PM",2009,"2/4/16, 11:43 AM",Raekwon,Rap,2
Black Mozart (feat. Inspectah Deck),"10/25/16, 3:57 PM",2009,"12/30/16, 1:56 PM",Raekwon,Hip-Hop/Rap,2
Black Panther,"2/23/18, 10:08 AM",2018,"2/24/18, 1:27 PM",Kendrick Lamar,Hip-Hop/Rap,2
Black Smoke Rising,"9/28/18, 10:55 PM",2017,"6/12/20, 3:18 PM",Greta Van Fleet,Rock,36
The Blacker The Berry,"10/21/15, 9:20 PM",2015,"9/19/16, 7:37 PM",Kendrick Lamar,Rap,4
The Blacker the Berry,"10/25/16, 3:57 PM",2015,"6/7/17, 11:31 PM",Kendrick Lamar,Hip-Hop/Rap,6
Blackout,"7/14/19, 2:49 PM",2019,,Jaden,Hip-Hop/Rap,
Blackout,"5/4/18, 8:38 PM",1982,,Scorpions,Hard Rock,
Blame Game (feat. John Legend),"10/14/15, 9:32 PM",2010,,Kanye West & John Legend,Hip Hop/Rap,
Blame It On Me,"7/7/15, 11:02 PM",,"2/15/16, 10:54 AM",Akon,,12
Blame It On Me,"5/7/18, 8:41 PM",2018,,Post Malone,Hip-Hop/Rap,
Bleed It,"4/18/19, 3:20 PM",2019,"8/2/20, 5:55 PM",Blueface,Hip-Hop/Rap,30
Blem,"5/31/17, 2:58 AM",2017,,Drake,Hip-Hop/Rap,
Blessed (feat Kendrick Lamar),"3/20/16, 11:18 AM",,"4/27/16, 9:33 PM",ScHoolboy Q,,7
Blessings,"9/21/16, 11:02 PM",2016,"10/1/16, 2:52 PM",Chance the Rapper,Hip-Hop/Rap,1
Blood Diamonds,"5/31/17, 8:24 PM",2012,"10/14/18, 3:26 PM",The Game,Hip-Hop/Rap,25
BLOOD.,"4/13/17, 7:52 PM",2017,"3/15/18, 4:08 PM",Kendrick Lamar,Hip-Hop/Rap,5
Bloodshot Eyes,"6/18/20, 9:14 PM",2020,,Lamb of God,Metal,
Bloody Waters,"2/23/18, 10:08 AM",2018,"10/3/18, 5:18 PM","Ab-Soul, Anderson .Paak, James Blake",Hip-Hop/Rap,3
Blow My High (Members Only),"8/12/19, 11:16 AM",2011,"8/12/19, 12:59 PM",Kendrick Lamar,Hip Hop/Rap,1
Blow the Whistle,"7/7/16, 11:39 PM",2006,"12/19/16, 5:19 PM",Too $hort,Hardcore Rap,1
Blow the Wistle,"7/8/15, 10:41 PM",,"8/8/15, 7:31 PM",Too $hort,,2
Blue Laces 2,"11/24/18, 2:01 PM",2018,,Nipsey Hussle,Hip-Hop/Rap,
Blue Suede,"9/27/16, 11:38 AM",2014,"9/28/16, 1:03 PM",Vince Staples,Hip-Hop/Rap,2
Blue Tint,"6/29/18, 9:45 AM",2018,"7/11/18, 1:19 PM",Drake,Hip-Hop/Rap,2
Bluffin',"5/2/19, 5:39 PM",2019,,Khalid,R&B/Soul,
Boca Raton,"6/27/18, 7:54 PM",2018,,Bas & A$AP Ferg,Hip-Hop/Rap,
Bohemian Rhapsody,"2/12/17, 11:00 PM",1975,"6/21/20, 1:59 PM",Queen,Rock,47
BOMPTOWN FINEST,"8/11/18, 2:24 PM",2018,,YG,Hip-Hop/Rap,
Bonjour,"6/19/18, 2:21 PM",2018,,Nas,Hip-Hop/Rap,
Boredom (feat. Rex Orange County and Anna of the North),"1/9/19, 7:55 PM",2017,,"Tyler, The Creator",Hip-Hop/Rap,
The Boss (feat. The J.B.'s),"1/21/20, 8:56 PM",1973,,James Brown,R&B/Soul,
Boss Life,"1/19/18, 5:40 PM",2017,"1/19/18, 6:42 PM",Dame D.O.L.L.A.,Hip-Hop/Rap,2
Both (feat. Drake),"12/23/16, 1:58 AM",2016,"10/20/18, 7:19 PM",Gucci Mane,Hip-Hop/Rap,26
Both Eyes Closed (feat. 2 Chainz & Young Dolph),"5/26/17, 10:20 PM",2017,"5/28/17, 2:58 PM",Gucci Mane,Hip-Hop/Rap,2
Boulevard of Broken Dreams,"11/27/16, 9:38 PM",2004,"5/30/18, 4:51 PM",Green Day,Alternative,18
Bounce,"10/16/15, 5:33 PM",2014,"3/19/16, 9:39 AM",Logic,Dance & House,2
Bounce It,"1/15/15, 10:59 PM",,"7/11/18, 10:40 AM",Juicy J,Hip Hop/Rap,52
Bout a Dolla,"3/20/16, 10:22 AM",,"2/6/18, 1:48 PM",Chance the Rapper,,6
The Box,"1/4/20, 6:26 PM",2019,"3/14/20, 4:23 PM",Roddy Ricch,Hip-Hop/Rap,5
The Boxer,"6/28/19, 1:52 PM",1969,,Simon & Garfunkel,Pop,
The Boys Are Back In Town,"6/2/18, 2:05 AM",1976,"6/14/20, 3:23 PM",Thin Lizzy,Hard Rock,51
The Boys of Summer,"11/20/19, 6:26 PM",1984,"8/12/20, 1:51 PM",Don Henley,Rock,16
Boyz-N-The Hood,"5/24/12, 7:10 PM",1987,"8/10/15, 1:25 PM",N.W.A.,Hip-Hop/Rap,1
Boyz-N-The Hood (Remix),"5/24/12, 7:18 PM",1988,"2/9/19, 4:58 PM",Eazy-E,Hip Hop/Rap,22
Brain Stew,"2/4/20, 7:49 PM",1995,"3/6/20, 2:08 PM",Green Day,Alternative,5
Brandy (You're a Fine Girl),"3/26/20, 4:56 PM",1972,,Looking Glass,Rock,
Brass Monkey,"7/7/15, 11:24 PM",1986,"7/16/15, 12:51 PM",Beastie Boys,Hip Hop/Rap,3
Break My Stride,"11/14/18, 8:19 PM",1983,"10/23/19, 8:58 PM",Matthew Wilder,Pop,13
Break Stuff,"3/25/19, 8:29 PM",1999,,Limp Bizkit,Hard Rock,
Breakdown,"6/17/18, 3:08 PM",2005,,Jack Johnson,Rock,
Breakdown,"6/17/18, 4:08 PM",1976,"8/2/19, 9:44 PM",Tom Petty & The Heartbreakers,Rock,1
The Breakup Song (They Don't Write 'Em),"7/6/18, 11:37 AM",1981,"6/14/20, 3:32 PM",Greg Kihn Band,Rock,29
Breathe In Breathe Out,"10/15/15, 6:20 PM",2004,"8/6/16, 11:22 PM",Kanye West,Rap,4
Breathe In Breathe Out (feat. Ludacris),"10/25/16, 3:55 PM",2004,"5/19/17, 7:19 PM",Kanye West,Hip-Hop/Rap,5
Breezeblocks,"8/18/20, 9:37 AM",2012,,alt-J,Alternative,
Breezeblocks (iTunes Session),"9/12/18, 8:11 PM",2013,,alt-J,Alternative,
Brighton Rock,"12/26/17, 4:29 PM",1974,,Queen,Rock,
Bring It On,"10/29/15, 12:54 AM",1996,,Jay-Z,Rap,
Bring It On Home,"2/24/19, 3:32 PM",1969,,Led Zeppelin,Rock,
Bring It On Home to Me,"11/17/17, 12:08 AM",1967,"3/21/20, 11:13 AM",Freddie Scott,R&B/Soul,16
Bring It On Home to Me,"8/4/19, 1:24 AM",1962,,Sam Cooke,R&B/Soul,
Bring Me Down,"10/15/15, 5:56 PM",2005,,Kanye West,Rap,
Bring Me Down (feat. Brandy),"10/25/16, 4:54 PM",2005,"6/8/19, 5:23 PM",Kanye West,Hip-Hop/Rap,2
Bring the Noise,"8/3/15, 9:35 PM",2001,,Public Enemy,Hip-Hop/Rap,
Bringin' on the Heartbreak (Remastered 2018),"6/15/20, 1:05 AM",1981,,Def Leppard,Hard Rock,
Broccoli (feat. Lil Yachty),"10/25/16, 8:06 PM",2016,"11/19/19, 4:45 PM",DRAM,Hip-Hop/Rap,28
Brodie Street,"5/12/19, 1:36 PM",2017,,Mako Road,Alternative,
Broken Safety,"10/21/15, 9:01 PM",2009,,Raekwon,Rap,
Broken Safety (feat. Jadakiss & Styles P.),"10/25/16, 3:57 PM",2009,,Raekwon,Hip-Hop/Rap,
Broken Whiskey Glass,"6/30/18, 11:55 AM",2016,,Post Malone,Hip-Hop/Rap,
Bron-Y-Aur Stomp,"2/24/19, 3:32 PM",1970,"2/27/19, 3:44 PM",Led Zeppelin,Rock,1
Brooklyn's Finest,"10/29/15, 12:51 AM",1996,,Jay-Z,Rap,
Brown Eyed Girl,"6/13/18, 12:04 PM",1967,"8/2/20, 4:57 PM",Van Morrison,Rock,64
Brown Sugar,"3/17/20, 1:04 AM",1971,,The Rolling Stones,Rock,
Bucket List,"5/26/17, 10:20 PM",2017,"3/13/18, 12:56 PM",Gucci Mane,Hip-Hop/Rap,3
Bullet With Butterfly Wings,"6/27/17, 1:25 PM",1995,"10/7/18, 6:19 PM",Smashing Pumpkins,Hard Rock,21
BULLETPROOF (feat. Jay 305),"8/11/18, 2:24 PM",2018,"2/22/19, 4:37 PM",YG,Hip-Hop/Rap,5
Bulls On Parade,"2/8/17, 1:43 PM",1996,"3/17/18, 5:26 PM",Rage Against the Machine,Alternative,16
